Date,Adj Close,Close,High,Low,Open,Volume,Return,Previous_Return,MA_5,MA_20,MA_50,Volatility_10,Volume_Change,Target
2020-01-01,12182.5,12182.5,12222.2001953125,12165.2998046875,12202.150390625,304100,0.001154609211690083,-0.007131240742024536,12195.8298828125,12108.730029296876,11980.5769921875,0.005265952022345212,-0.2876551885687515,1.0
2020-01-02,12282.2001953125,12282.2001953125,12289.900390625,12195.25,12198.5498046875,407700,0.008183886337984836,0.001154609211690083,12226.9599609375,12120.680029296875,11992.98400390625,0.005701033510625683,0.3406774087471227,0.0
2020-01-03,12226.650390625,12226.650390625,12265.599609375,12191.349609375,12261.099609375,428800,-0.004522789386603554,0.008183886337984836,12223.130078125,12131.092529296875,12005.75001953125,0.005823521032682288,0.05175374049546244,0.0
2020-01-06,11993.0498046875,11993.0498046875,12179.099609375,11974.2001953125,12170.599609375,396500,-0.019105853072941215,-0.004522789386603554,12170.5701171875,12134.67001953125,12013.5290234375,0.008291052641603396,-0.07532649253731338,1.0
2020-01-07,12052.9501953125,12052.9501953125,12152.150390625,12005.349609375,12079.099609375,447800,0.004994592001242859,-0.019105853072941215,12147.4701171875,12140.442529296875,12022.93603515625,0.00860067560811229,0.1293820933165195,0.0
2020-01-08,12025.349609375,12025.349609375,12044.9501953125,11929.599609375,11939.099609375,446000,-0.0022899444111396106,0.004994592001242859,12116.0400390625,12148.87001953125,12031.76501953125,0.008568789740881561,-0.004019651630192023,1.0
2020-01-09,12215.900390625,12215.900390625,12224.0498046875,12132.5498046875,12153.150390625,477500,0.015845758122611686,-0.0022899444111396106,12102.780078125,12164.15751953125,12040.34603515625,0.009872799663430833,0.07062780269058289,1.0
2020-01-10,12256.7998046875,12256.7998046875,12311.2001953125,12213.2001953125,12271.0,660600,0.0033480474426501594,0.015845758122611686,12108.8099609375,12178.40751953125,12048.6000390625,0.009414205090286369,0.38345549738219886,1.0
2020-01-13,12329.5498046875,12329.5498046875,12337.75,12285.7998046875,12296.7001953125,501000,0.0059354808073293075,0.0033480474426501594,12176.1099609375,12190.55,12057.64203125,0.009593157759829402,-0.2415985467756585,1.0
2020-01-14,12362.2998046875,12362.2998046875,12374.25,12308.7001953125,12333.099609375,616300,0.0026562202609821117,0.0059354808073293075,12237.9798828125,12205.96748046875,12067.07603515625,0.009203423548519524,0.2301397205588822,0.0
2020-01-15,12343.2998046875,12343.2998046875,12355.150390625,12278.75,12349.400390625,684400,-0.0015369308543056182,0.0026562202609821117,12301.569921875,12214.882470703125,12075.11603515625,0.009257742910057092,0.1104981340256368,1.0
2020-01-16,12355.5,12355.5,12389.0498046875,12315.7998046875,12347.099609375,395700,0.000988406301843714,-0.0015369308543056182,12329.48984375,12221.574951171875,12083.88203125,0.008941884424238353,-0.42182933956750435,0.0
2020-01-17,12352.349609375,12352.349609375,12385.4501953125,12321.400390625,12328.400390625,502100,-0.000254978804985595,0.000988406301843714,12348.5998046875,12226.207421875,12091.60802734375,0.008768726731481427,0.2688905736669194,0.0
2020-01-20,12224.5498046875,12224.5498046875,12430.5,12216.900390625,12430.5,491600,-0.010346193941151438,-0.000254978804985595,12327.5998046875,12223.844921875,12095.85802734375,0.006731478495619093,-0.020912168890659277,0.0
2020-01-21,12169.849609375,12169.849609375,12230.0498046875,12162.2998046875,12195.2998046875,400,-0.004474618385662321,-0.010346193941151438,12289.109765625,12219.19990234375,12101.09201171875,0.00691658764337676,-0.9991863303498779,0.0
2020-01-22,12106.900390625,12106.900390625,12225.0498046875,12087.900390625,12218.349609375,500,-0.005172555189302153,-0.004474618385662321,12241.8298828125,12213.817431640626,12104.961015625,0.007125261720573302,0.25,1.0
2020-01-23,12180.349609375,12180.349609375,12189.0,12094.099609375,12123.75,867700,0.0060667236352978104,-0.005172555189302153,12206.7998046875,12216.507421875,12111.75900390625,0.005236058175337273,1734.4,1.0
2020-01-24,12248.25,12248.25,12272.150390625,12149.650390625,12174.5498046875,593200,0.005574584704263197,0.0060667236352978104,12185.9798828125,12216.629931640626,12119.28201171875,0.005450383864329602,-0.3163535784257232,0.0
2020-01-27,12119.0,12119.0,12216.599609375,12107.0,12197.099609375,441200,-0.010552527912150667,0.005574584704263197,12164.869921875,12209.787451171875,12123.7530078125,0.005910830338675886,-0.25623735670937287,0.0
2020-01-28,12055.7998046875,12055.7998046875,12163.5498046875,12024.5,12148.099609375,478500,-0.005214967844912932,-0.010552527912150667,12142.0599609375,12204.154931640625,12127.17900390625,0.005788325083066684,0.08454215775158658,1.0
2020-01-29,12129.5,12129.5,12169.599609375,12103.7998046875,12114.900390625,514400,0.006113256399948197,-0.005214967844912932,12146.5798828125,12201.504931640626,12130.96701171875,0.006401673295479292,0.07502612330198533,0.0
2020-01-30,12035.7998046875,12035.7998046875,12150.2998046875,12010.599609375,12147.75,538100,-0.0077249841553650445,0.006113256399948197,12117.669921875,12189.184912109375,12131.701015625,0.0065814372861477425,0.046073094867807196,0.0
