Date,Return_1D,Return_5D,Return_10D,Return_20D,Price_to_MA5,Price_to_MA20,Price_to_MA50,High_Low_Range,Open_Close_Return,Volatility_10,Volatility_20,Volume_Change,Relative_Volume,RSI_14,MACD,MACD_Signal,MACD_Histogram,BB_Position,ATR_Percent,Target,Close,Prediction,Probability_UP,Next_Return,Position,Strategy_Return,Position_Change,Trading_Cost,Net_Strategy_Return,Buy_Hold_Return,Strategy_Equity,Buy_Hold_Equity
2025-08-18,0.0099730192766349,0.0210828755147702,0.0126845175961216,-0.0036626764407918,0.0096160294170941,0.0049925183001853,-0.0056395275857528,0.0067994828922796,-0.0024560714854643,0.0063295791083821,0.0061337996529833,0.3438193930421909,1.1923487398407355,52.27903702577672,-115.5758794713729,-131.90980999478316,16.33393052341026,0.6416107963568614,0.0086645273832482,1,24876.94921875,1,0.6305649,0.004168564680625764,1,0.004168564680625764,1.0,0.0005,0.0036685646806257637,0.004168564680625764,1.0522572054053672,1.2868829647314104
2025-08-19,0.0041685646806257,0.0160910633414963,0.0104317032136391,-0.004386040706381,0.0105796729768994,0.0094062761624178,-0.0013966400953023,0.0055523443027349,0.0035876231161192,0.0061655053444468,0.0061041976585923,-0.3051500963921785,0.8357625546574798,55.12484004969343,-83.13389076478416,-122.15462614878336,39.02073538399921,0.7759958516486657,0.0084088290800427,1,24980.650390625,1,0.5322222,0.0027981813736617234,1,0.0027981813736617234,0.0,0.0,0.0027981813736617234,0.0027981813736617234,1.0552016119178338,1.2904838966734045
2025-08-20,0.0027981813736617,0.0229975571780416,0.016268044945672,-0.0004129783532785,0.0088109189047935,0.0122519442976922,0.0014406276813387,0.006347165832338,0.00339464376659,0.0060158304355405,0.0061353123920397,0.1379310344827586,0.9830508474576272,56.986831551326105,-51.19288394178875,-107.96227770738444,56.769393765595694,0.8607811289285026,0.0082397796302656,1,25050.55078125,1,0.55694324,0.0013252889742787488,1,0.0013252889742787488,0.0,0.0,0.0013252889742787488,0.0013252889742787488,1.0566000589797497,1.29219416075315
2025-08-21,0.0013252889742787,0.0188632274204416,0.0207351937173689,-0.0053985300701508,0.0063836333896432,0.0138723674335579,0.0028140491652175,0.003936811680869,-0.00231684034683,0.0057918132134169,0.0059622266353701,-0.2110762800417972,0.7815734989648033,57.88072452069734,-22.936113180847315,-90.95704480207702,68.0209316212297,0.9367826559624834,0.0079346840771433,0,25083.75,1,0.5795197,-0.008517482060098724,1,-0.008517482060098724,0.0,0.0,-0.008517482060098724,-0.008517482060098724,1.0476004869326905,1.2811879201707708
2025-08-22,-0.0085174820600987,0.0096949337043044,0.0111378900518683,-0.007660970269553,-0.0040965382031763,0.0056269382355438,-0.0057130122335967,0.0090751232321128,-0.0077421647343204,0.0066978490771372,0.0061018102811937,-0.0719646799116997,0.7417732686369651,50.59383482021025,-17.57957336750769,-76.28155051516316,58.70197714765547,0.6882140888898256,0.0080794392672756,1,24870.099609375,0,0.4219619,0.003926417350905487,0,0.0,1.0,0.0005,-0.0005,0.003926417350905487,1.0470766866892243,1.2862183986502997
2025-08-25,0.0039264173509054,0.0036499966475616,0.0248098245872818,0.005264323388493,-0.0009127508990348,0.0093086436160914,-0.0020078432834242,0.0050946189334241,0.0007455007117993,0.005591458284959,0.0058187235655585,0.0133206470028544,0.7603884049692988,53.476758720416846,-5.392742371386703,-62.10378888640787,56.71104651502117,0.8018825602000007,0.0079062709284134,0,24967.75,0,0.47916234,-0.010241179872034878,0,-0.0,0.0,0.0,-0.0,-0.010241179872034878,1.0470766866892243,1.2730460046750014
2025-08-26,-0.0102411798720348,-0.0107523064922201,0.0051657408044427,0.0012621253735471,-0.0090143518991283,-0.0010907610110729,-0.0120432931173318,0.0093092549576884,-0.0075282322436193,0.0063374697980497,0.0061133870967236,2.523474178403756,2.464372496223813,45.92062070464328,-16.180858130872366,-52.91920273530077,36.738344604428406,0.464560538196205,0.0082214768224704,0,24712.05078125,1,0.6120256,-0.008544430103923584,1,-0.008544430103923584,1.0,0.0005,-0.009044430103923584,-0.008544430103923584,1.0376064747830156,1.2621685520689767
2025-08-28,-0.0085444301039235,-0.0219416489251966,0.0005513039271072,-0.0129002833794301,-0.0131313064563102,-0.0089845317445057,-0.020208665827774,0.0090221492976063,-0.0078920457915653,0.0068434115553497,0.0062534974701088,-0.5648234510326449,1.0651099841831493,40.79455491107537,-41.29259413895488,-50.5938810160316,9.30128687707672,0.2169042341473342,0.0083718653822927,0,24500.900390625,0,0.3960733,-0.0030223697933294824,0,-0.0,1.0,0.0005,-0.0005,-0.0030223697933294824,1.037087671545624,1.258353811963113
2025-08-29,-0.0030223697933294,-0.0261882848706832,-0.0078190530235086,-0.0172279338973639,-0.0108797206579499,-0.0111233830590823,-0.0228689191077623,0.0068674431079977,-0.0016287284614371,0.0066315566655764,0.0062567150201952,-0.0033680342927128,1.0475837986579342,39.14424033865326,-66.4036451380016,-53.75583384042561,-12.647811297575984,0.162943762344828,0.0082879734008257,1,24426.849609375,0,0.41879565,0.008114070174605414,0,0.0,0.0,0.0,0.0,0.008114070174605414,1.037087671545624,1.268564183097864
2025-09-01,0.0081140701746054,-0.0098531502476422,-0.0002537421817672,-0.0057855622350695,-0.0008710978660591,-0.0028103243244376,-0.014807834358845,0.0082395927800275,0.0078727102878746,0.0072053249905051,0.0065310782712883,-0.2955453149001535,0.7521361914289931,45.49940798875656,-69.5098891029229,-56.90664489292507,-12.603244209997824,0.4148869560937105,0.0082395422189139,0,24625.05078125,1,0.50909644,-0.0018457290617897026,1,-0.0018457290617897026,1.0,0.0005,-0.0023457290617897027,-0.0018457290617897026,1.0346549448548559,1.2662227573183749
